feeder_id,state,date,units_injected_kwh,units_billed_kwh,loss_percentage,transformer_age_years,temperature_celsius,load_factor,smart_meter_installed,voltage_fluctuation,outage_hours_monthly
FEEDER_000,Rajasthan,2024-01-23,585.11,422.8,27.74,1,28.2,0.43,True,5.25,7.5
FEEDER_000,Bihar,2024-01-24,4792.56,4430.15,7.56,27,29.1,0.58,True,0.85,18.3
FEEDER_000,Madhya Pradesh,2024-01-25,4073.19,2903.53,28.72,3,16.7,0.46,False,4.47,18.7
FEEDER_000,Maharashtra,2024-01-26,2813.46,2146.2,23.72,19,35.6,0.74,True,3.57,11.2
FEEDER_000,Maharashtra,2024-01-27,1179.86,1067.43,9.53,29,39.5,0.94,True,3.34,18.3
FEEDER_000,Maharashtra,2024-01-28,4188.17,3356.11,19.87,22,43.4,0.61,True,1.56,12.4
FEEDER_000,Madhya Pradesh,2024-01-29,2269.6,1497.25,34.03,23,29.4,0.44,True,3.36,14.1
FEEDER_000,Uttar Pradesh,2024-01-30,3087.67,2160.25,30.04,8,38.1,0.71,True,8.55,0.1
FEEDER_001,Uttar Pradesh,2024-01-01,2644.32,2269.27,14.18,13,15.9,0.71,False,8.86,2.1
FEEDER_001,Bihar,2024-01-02,2692.75,2399.92,10.88,25,36.0,0.74,True,2.86,19.8
FEEDER_001,West Bengal,2024-01-03,1407.36,933.85,33.64,30,24.5,0.71,True,9.67,7.2
FEEDER_001,Madhya Pradesh,2024-01-04,708.04,605.19,14.53,6,23.4,0.78,True,1.33,11.3
FEEDER_001,Bihar,2024-01-05,1909.09,1355.59,28.99,24,23.1,0.66,True,9.79,0.7
FEEDER_001,Rajasthan,2024-01-06,2100.54,1476.76,29.7,11,33.0,0.7,False,9.48,7.1
FEEDER_001,Uttar Pradesh,2024-01-07,1116.97,1011.45,9.45,5,28.7,0.79,False,7.71,10.4
FEEDER_001,West Bengal,2024-01-08,3207.56,2112.14,34.15,13,38.9,0.77,False,1.32,11.5
FEEDER_001,Gujarat,2024-01-09,1634.05,1532.19,6.23,28,26.1,0.69,False,5.77,6.2
FEEDER_001,Rajasthan,2024-01-10,2907.21,2383.17,18.03,4,19.3,0.59,False,2.36,5.1
FEEDER_001,Maharashtra,2024-01-11,1733.34,1316.9,24.03,24,15.9,0.44,False,9.77,7.2
FEEDER_001,Gujarat,2024-01-12,3244.02,2844.7,12.31,3,42.0,0.48,False,1.71,6.5
FEEDER_001,Gujarat,2024-01-13,3145.89,2796.66,11.1,9,26.4,0.9,True,2.79,13.2
FEEDER_001,Madhya Pradesh,2024-01-14,3569.79,2661.58,25.44,11,25.3,0.56,False,6.57,0.3
FEEDER_001,Uttar Pradesh,2024-01-15,3115.17,2200.85,29.35,29,22.9,0.84,False,4.24,9.2
FEEDER_001,West Bengal,2024-01-16,4378.58,3981.63,9.07,19,19.9,0.55,False,3.02,0.1
FEEDER_001,West Bengal,2024-01-17,1562.65,1288.35,17.55,3,39.3,0.62,False,7.34,19.4
FEEDER_001,Rajasthan,2024-01-18,1060.28,966.45,8.85,18,21.3,0.55,False,3.27,9.5
FEEDER_001,Tamil Nadu,2024-01-19,2948.01,2335.55,20.78,10,42.7,0.89,True,6.06,10.5
FEEDER_001,Maharashtra,2024-01-20,3333.65,3088.77,7.35,2,37.8,0.88,False,8.21,14.1
FEEDER_001,Bihar,2024-01-21,3233.1,2804.44,13.26,11,23.0,0.73,False,6.58,11.3
FEEDER_001,Bihar,2024-01-22,3469.68,2847.27,17.94,29,17.4,0.81,True,2.01,10.3
FEEDER_001,Madhya Pradesh,2024-01-23,1089.67,848.8,22.11,1,41.0,0.46,False,2.38,16.2
FEEDER_001,Tamil Nadu,2024-01-24,3440.14,2381.11,30.78,30,22.9,0.69,False,3.3,6.7
FEEDER_001,Madhya Pradesh,2024-01-25,1099.97,833.84,24.19,7,32.4,0.56,False,5.27,1.2
FEEDER_001,West Bengal,2024-01-26,3146.76,2410.24,23.41,27,32.9,0.6,False,7.52,3.7
FEEDER_001,Tamil Nadu,2024-01-27,1342.0,1035.19,22.86,4,35.1,0.82,True,5.76,13.0
FEEDER_001,Bihar,2024-01-28,3840.17,3235.12,15.76,9,42.5,0.81,True,1.59,1.3
FEEDER_001,Bihar,2024-01-29,4908.27,3860.96,21.34,23,16.2,0.86,True,3.61,3.4
FEEDER_001,Maharashtra,2024-01-30,2423.11,1981.2,18.24,19,15.3,0.51,False,5.57,10.0
FEEDER_002,Rajasthan,2024-01-01,4926.51,4268.06,13.37,27,45.0,0.53,False,8.62,19.0
FEEDER_002,Uttar Pradesh,2024-01-02,1837.58,1228.86,33.13,14,26.8,0.7,True,2.69,1.3
FEEDER_002,Rajasthan,2024-01-03,3444.07,2383.99,30.78,28,22.3,0.88,False,9.35,13.8
FEEDER_002,West Bengal,2024-01-04,2348.73,1899.83,19.11,23,30.9,0.41,True,2.6,8.6
FEEDER_002,Maharashtra,2024-01-05,3191.98,2621.13,17.88,21,34.8,0.61,True,7.49,10.0
FEEDER_002,Uttar Pradesh,2024-01-06,1524.96,1085.47,28.82,30,22.1,0.47,False,7.63,16.6
FEEDER_002,Uttar Pradesh,2024-01-07,3155.71,2380.24,24.57,18,16.7,0.67,True,5.15,16.2
FEEDER_002,Rajasthan,2024-01-08,2602.19,2423.31,6.87,24,32.4,0.78,True,3.38,17.1
FEEDER_002,Tamil Nadu,2024-01-09,3980.72,3000.17,24.63,15,18.2,0.48,True,1.39,5.1
FEEDER_002,Uttar Pradesh,2024-01-10,3551.34,2959.89,16.65,1,20.0,0.51,False,6.04,12.8
FEEDER_002,Tamil Nadu,2024-01-11,2847.84,2689.56,5.56,22,40.7,0.82,False,3.32,3.6
FEEDER_002,Gujarat,2024-01-12,1109.36,845.83,23.76,7,42.1,0.93,False,6.85,4.4
FEEDER_002,Tamil Nadu,2024-01-13,4118.55,3341.44,18.87,22,38.9,0.44,True,7.33,3.3
FEEDER_002,Madhya Pradesh,2024-01-14,1069.25,698.89,34.64,20,29.6,0.91,False,4.49,15.9
FEEDER_002,Bihar,2024-01-15,1148.63,1066.25,7.17,9,27.5,0.7,True,5.28,17.6
FEEDER_002,Tamil Nadu,2024-01-16,2711.08,1979.14,27.0,9,21.8,0.57,True,8.87,4.4
FEEDER_002,Maharashtra,2024-01-17,3060.5,2789.73,8.85,2,38.0,0.78,True,4.52,13.6
FEEDER_002,Tamil Nadu,2024-01-18,3426.52,2472.62,27.84,1,16.8,0.74,True,2.83,7.7
FEEDER_002,Maharashtra,2024-01-19,3661.46,2492.75,31.92,11,25.4,0.65,True,8.65,8.7
FEEDER_002,Bihar,2024-01-20,2599.6,2249.58,13.46,7,25.7,0.5,True,4.54,12.9
FEEDER_002,Bihar,2024-01-21,693.68,487.25,29.76,12,24.0,0.93,True,4.97,13.4
FEEDER_002,Madhya Pradesh,2024-01-22,1976.8,1688.85,14.57,6,26.4,0.47,True,8.36,9.2
FEEDER_002,Madhya Pradesh,2024-01-23,1790.77,1267.67,29.21,29,29.0,0.93,True,8.72,5.3
FEEDER_002,Uttar Pradesh,2024-01-24,2531.33,1872.56,26.02,8,22.5,0.49,False,8.4,1.8
FEEDER_002,Maharashtra,2024-01-25,1370.8,914.72,33.27,29,25.7,0.77,True,6.87,3.8
FEEDER_002,Tamil Nadu,2024-01-26,2463.57,1651.27,32.97,11,35.6,0.92,True,9.21,16.4
FEEDER_002,Bihar,2024-01-27,4628.7,3526.06,23.82,25,20.9,0.43,False,4.68,10.2
FEEDER_002,Gujarat,2024-01-28,3455.98,2580.17,25.34,30,42.4,0.55,True,7.53,9.3
FEEDER_002,Madhya Pradesh,2024-01-29,3835.83,3549.73,7.46,1,19.9,0.53,True,3.04,6.8
FEEDER_002,Madhya Pradesh,2024-01-30,2711.06,2336.82,13.8,21,21.5,0.6,True,8.68,6.9
FEEDER_003,West Bengal,2024-01-01,2906.87,2369.21,18.5,10,33.3,0.57,True,6.07,4.3
FEEDER_003,Rajasthan,2024-01-02,4520.47,3522.66,22.07,20,20.5,0.86,True,9.4,0.6
FEEDER_003,Madhya Pradesh,2024-01-03,890.68,704.51,20.9,17,23.4,0.82,True,7.43,7.1
FEEDER_003,West Bengal,2024-01-04,4095.16,2786.28,31.96,17,34.0,0.49,False,9.58,9.7
FEEDER_003,Uttar Pradesh,2024-01-05,624.33,500.18,19.89,14,21.3,0.92,False,3.05,1.0
FEEDER_003,Tamil Nadu,2024-01-06,500.28,329.11,34.21,16,20.6,0.53,True,4.96,15.6
FEEDER_003,Bihar,2024-01-07,519.52,404.48,22.14,29,37.7,0.88,False,9.6,3.6
FEEDER_003,Madhya Pradesh,2024-01-08,2900.47,2060.45,28.96,20,44.9,0.78,True,2.7,0.4
FEEDER_003,Madhya Pradesh,2024-01-09,2000.85,1399.07,30.08,6,23.0,0.77,False,5.79,4.1
FEEDER_003,Madhya Pradesh,2024-01-10,1275.95,1165.7,8.64,6,21.3,0.62,True,5.83,2.3
FEEDER_003,Gujarat,2024-01-11,539.85,488.45,9.52,17,43.6,0.82,True,9.94,9.5
FEEDER_003,Madhya Pradesh,2024-01-12,2768.57,2516.67,9.1,20,33.2,0.65,False,5.88,13.6
FEEDER_003,West Bengal,2024-01-13,3995.28,3496.51,12.48,22,42.6,0.54,True,7.35,19.6
FEEDER_003,Uttar Pradesh,2024-01-14,2214.42,1564.95,29.33,24,20.2,0.41,False,4.48,18.3
FEEDER_003,Uttar Pradesh,2024-01-15,1541.28,1002.97,34.93,11,24.7,0.79,False,3.25,11.9
FEEDER_003,Bihar,2024-01-16,2983.84,2411.53,19.18,25,19.0,0.73,False,5.95,8.0
FEEDER_003,Madhya Pradesh,2024-01-17,3420.74,3038.53,11.17,3,37.4,0.91,False,0.61,16.7
FEEDER_003,Rajasthan,2024-01-18,4983.17,3490.75,29.95,28,35.9,0.58,False,2.62,15.8
FEEDER_003,Madhya Pradesh,2024-01-19,3260.36,2281.64,30.02,22,29.8,0.42,False,8.83,14.5
FEEDER_003,Bihar,2024-01-20,4197.06,3283.09,21.78,5,36.7,0.47,True,9.61,5.7
FEEDER_003,Tamil Nadu,2024-01-21,1123.85,1063.22,5.39,24,29.5,0.74,True,7.58,9.0
FEEDER_003,West Bengal,2024-01-22,3948.39,3607.12,8.64,25,37.8,0.89,True,5.03,1.8
FEEDER_003,Tamil Nadu,2024-01-23,2372.45,2052.58,13.48,20,43.7,0.47,False,5.49,0.9
FEEDER_003,Maharashtra,2024-01-24,1853.3,1439.73,22.32,26,21.2,0.74,True,4.36,4.4
FEEDER_003,Bihar,2024-01-25,4951.54,4391.33,11.31,10,21.8,0.68,True,5.63,12.9
FEEDER_003,Madhya Pradesh,2024-01-26,3222.97,2322.98,27.92,2,43.1,0.91,True,1.68,3.0
FEEDER_003,West Bengal,2024-01-27,1421.56,1072.28,24.57,1,43.0,0.72,True,8.46,7.0
FEEDER_003,Gujarat,2024-01-28,1958.96,1298.17,33.73,21,31.3,0.42,True,2.43,7.7
FEEDER_003,Uttar Pradesh,2024-01-29,4303.83,3958.55,8.02,18,39.0,0.41,True,0.57,17.2
FEEDER_003,Madhya Pradesh,2024-01-30,2171.89,1612.46,25.76,25,19.3,0.68,False,7.72,19.3
FEEDER_004,West Bengal,2024-01-01,3051.33,2541.76,16.7,7,26.0,0.76,False,8.69,13.1
FEEDER_004,West Bengal,2024-01-02,4012.44,3338.44,16.8,19,37.9,0.51,False,1.83,13.1
FEEDER_004,Rajasthan,2024-01-03,4648.42,3792.5,18.41,25,21.3,0.43,True,3.53,17.7
FEEDER_004,Madhya Pradesh,2024-01-04,3861.21,3082.72,20.16,3,39.8,0.93,False,7.43,2.5
FEEDER_004,Rajasthan,2024-01-05,3467.64,2696.65,22.23,12,44.4,0.79,False,6.29,2.2
FEEDER_004,Bihar,2024-01-06,3002.58,2340.8,22.04,23,30.9,0.48,False,8.01,1.2
FEEDER_004,Rajasthan,2024-01-07,1567.4,1149.95,26.63,1,33.7,0.85,True,7.22,1.3
FEEDER_004,Tamil Nadu,2024-01-08,1094.59,965.45,11.8,9,15.3,0.51,True,5.18,16.8
FEEDER_004,Maharashtra,2024-01-09,861.13,727.26,15.55,12,26.9,0.78,False,9.44,6.4
FEEDER_004,Rajasthan,2024-01-10,1742.85,1603.73,7.98,8,22.2,0.63,False,7.29,10.3
FEEDER_004,Rajasthan,2024-01-11,4665.45,4429.52,5.06,24,37.1,0.93,True,7.28,5.0
FEEDER_004,Uttar Pradesh,2024-01-12,564.46,493.38,12.59,26,19.0,0.68,False,1.32,12.7
FEEDER_004,Rajasthan,2024-01-13,1982.36,1545.4,22.04,26,34.4,0.66,False,5.61,2.4
FEEDER_004,Gujarat,2024-01-14,4489.6,3034.78,32.4,8,38.7,0.55,False,9.69,8.7
FEEDER_004,Maharashtra,2024-01-15,2455.59,2220.91,9.56,5,20.9,0.82,True,8.95,7.2
FEEDER_004,Uttar Pradesh,2024-01-16,3817.85,3082.35,19.26,13,36.2,0.73,False,7.51,10.1
FEEDER_004,Bihar,2024-01-17,4842.66,3230.81,33.28,22,22.7,0.87,False,6.17,14.8
FEEDER_004,West Bengal,2024-01-18,1236.4,835.37,32.44,2,28.7,0.47,False,9.97,18.6
FEEDER_004,Bihar,2024-01-19,1503.02,1093.21,27.27,8,29.8,0.52,True,9.33,10.5
FEEDER_004,Gujarat,2024-01-20,517.51,458.09,11.48,21,43.3,0.81,False,9.76,18.6
FEEDER_004,Tamil Nadu,2024-01-21,2039.31,1834.21,10.06,20,19.4,0.44,False,6.81,6.3
FEEDER_004,Tamil Nadu,2024-01-22,2006.07,1395.65,30.43,3,19.9,0.67,False,8.16,4.3
FEEDER_004,Tamil Nadu,2024-01-23,1032.05,860.53,16.62,14,23.2,0.92,False,8.43,14.7
FEEDER_004,Tamil Nadu,2024-01-24,3339.66,2747.51,17.73,19,29.7,0.58,True,0.85,19.9
FEEDER_004,Gujarat,2024-01-25,1185.93,1114.87,5.99,9,30.7,0.9,True,1.44,13.8
FEEDER_004,Uttar Pradesh,2024-01-26,1595.78,1201.9,24.68,8,37.0,0.76,False,8.31,7.7
FEEDER_004,Bihar,2024-01-27,1365.31,1260.78,7.66,19,32.6,0.51,False,9.41,9.4
FEEDER_004,Uttar Pradesh,2024-01-28,2900.11,2381.26,17.89,6,28.7,0.49,True,8.56,8.1
FEEDER_004,Tamil Nadu,2024-01-29,736.8,564.84,23.34,11,33.0,0.41,False,1.94,0.2
FEEDER_004,Uttar Pradesh,2024-01-30,3334.42,2698.04,19.09,30,20.5,0.41,True,4.19,0.4
FEEDER_005,Uttar Pradesh,2024-01-01,1642.98,1297.34,21.04,21,33.6,0.41,True,2.77,9.3
FEEDER_005,West Bengal,2024-01-02,2390.21,2094.54,12.37,25,24.3,0.89,True,6.17,17.6
FEEDER_005,Tamil Nadu,2024-01-03,4737.82,4036.67,14.8,30,15.1,0.45,False,7.5,10.2
FEEDER_005,Tamil Nadu,2024-01-04,3903.82,3071.83,21.31,9,30.8,0.74,True,0.71,13.4
FEEDER_005,Tamil Nadu,2024-01-05,2101.89,1930.0,8.18,15,29.5,0.94,False,3.24,2.4
FEEDER_005,Uttar Pradesh,2024-01-06,4606.34,3358.05,27.1,30,42.8,0.47,True,8.34,5.2
FEEDER_005,Gujarat,2024-01-07,3267.69,2311.46,29.26,10,36.3,0.79,True,7.58,11.3
FEEDER_005,Tamil Nadu,2024-01-08,4336.81,3667.95,15.42,26,19.7,0.79,True,3.65,13.5
FEEDER_005,Madhya Pradesh,2024-01-09,3543.86,2864.21,19.18,10,21.5,0.59,True,7.21,16.3
FEEDER_005,Tamil Nadu,2024-01-10,2017.74,1573.74,22.0,5,18.1,0.72,False,5.22,7.5
FEEDER_005,Bihar,2024-01-11,732.34,611.69,16.47,18,40.1,0.79,False,7.2,18.7
FEEDER_005,Gujarat,2024-01-12,2806.12,2187.22,22.06,13,38.3,0.62,True,1.96,6.3
FEEDER_005,Madhya Pradesh,2024-01-13,4450.45,2953.73,33.63,21,22.3,0.93,True,0.83,19.5
FEEDER_005,Tamil Nadu,2024-01-14,2417.78,2114.72,12.53,17,37.9,0.69,True,3.89,8.9
FEEDER_005,Uttar Pradesh,2024-01-15,2609.67,2444.04,6.35,5,16.5,0.76,True,3.24,9.1
FEEDER_005,Madhya Pradesh,2024-01-16,4627.8,3926.37,15.16,14,32.6,0.72,True,6.11,4.7
FEEDER_005,Maharashtra,2024-01-17,1526.52,1165.13,23.67,7,31.3,0.73,False,4.59,4.2
FEEDER_005,Maharashtra,2024-01-18,3656.34,3311.24,9.44,4,15.4,0.82,True,6.26,19.4
FEEDER_005,Tamil Nadu,2024-01-19,4487.13,4135.0,7.85,3,37.8,0.88,False,6.74,11.2
FEEDER_005,Madhya Pradesh,2024-01-20,3419.0,3019.14,11.7,21,39.8,0.85,True,8.56,2.1
FEEDER_005,Rajasthan,2024-01-21,4917.21,4479.02,8.91,10,35.6,0.64,True,4.7,4.5
FEEDER_005,Maharashtra,2024-01-22,1451.52,1331.9,8.24,10,30.7,0.66,True,0.93,14.4
FEEDER_005,Rajasthan,2024-01-23,2763.94,2595.3,6.1,6,26.9,0.86,True,7.25,11.8
FEEDER_005,Bihar,2024-01-24,548.24,515.24,6.02,17,27.2,0.76,True,8.81,16.2
FEEDER_005,Bihar,2024-01-25,3665.55,2964.71,19.12,24,42.8,0.93,True,2.08,3.7
FEEDER_005,Gujarat,2024-01-26,3644.14,2564.02,29.64,14,32.2,0.5,True,2.41,9.8
FEEDER_005,Maharashtra,2024-01-27,727.09,586.3,19.36,22,43.2,0.71,True,5.61,18.1
FEEDER_005,Rajasthan,2024-01-28,4967.24,4714.69,5.08,6,34.2,0.84,False,8.66,13.9
FEEDER_005,Bihar,2024-01-29,4076.2,3783.16,7.19,16,18.2,0.76,False,6.01,5.7
FEEDER_005,Madhya Pradesh,2024-01-30,1111.83,782.86,29.59,4,39.8,0.78,False,7.32,14.8
FEEDER_006,Madhya Pradesh,2024-01-01,727.75,504.45,30.68,9,21.3,0.58,False,9.49,0.3
FEEDER_006,West Bengal,2024-01-02,2353.15,1621.72,31.08,14,42.2,0.89,False,7.98,5.3
FEEDER_006,Rajasthan,2024-01-03,2953.1,2619.07,11.31,9,24.1,0.82,False,3.42,16.0
FEEDER_006,Madhya Pradesh,2024-01-04,1154.11,826.78,28.36,22,20.4,0.83,True,1.63,2.2
FEEDER_006,Uttar Pradesh,2024-01-05,4346.7,3839.03,11.68,2,43.6,0.46,True,9.05,5.2
FEEDER_006,Rajasthan,2024-01-06,1598.39,1121.59,29.83,29,38.6,0.94,False,2.98,12.3
FEEDER_006,Tamil Nadu,2024-01-07,3719.97,3378.98,9.17,3,31.6,0.45,True,6.38,7.6
FEEDER_006,Gujarat,2024-01-08,2441.27,1698.33,30.43,8,44.7,0.9,False,3.74,10.8
FEEDER_006,Bihar,2024-01-09,2647.03,1748.53,33.94,1,37.8,0.69,False,6.11,8.2
FEEDER_006,Rajasthan,2024-01-10,4204.89,3037.5,27.76,8,21.4,0.61,True,0.72,13.7
FEEDER_006,Madhya Pradesh,2024-01-11,1214.98,929.08,23.53,17,21.8,0.85,False,7.3,10.4
FEEDER_006,Tamil Nadu,2024-01-12,1729.69,1540.9,10.91,18,16.8,0.67,False,5.56,0.7
FEEDER_006,Maharashtra,2024-01-13,1960.61,1654.83,15.6,16,23.7,0.46,False,3.27,9.1
FEEDER_006,Tamil Nadu,2024-01-14,2011.08,1528.63,23.99,21,21.5,0.78,True,8.41,6.4
FEEDER_006,Maharashtra,2024-01-15,2468.71,1815.06,26.48,19,30.6,0.52,False,9.68,3.7
FEEDER_006,Uttar Pradesh,2024-01-16,837.84,755.97,9.77,18,33.2,0.9,True,1.96,6.4
FEEDER_006,Madhya Pradesh,2024-01-17,2562.37,1771.03,30.88,18,25.2,0.84,True,9.34,12.7
FEEDER_006,Rajasthan,2024-01-18,2420.67,2267.07,6.35,18,26.9,0.78,False,8.62,15.8
FEEDER_006,Tamil Nadu,2024-01-19,3136.85,2059.89,34.33,1,17.3,0.4,False,8.86,10.8
FEEDER_006,Maharashtra,2024-01-20,1411.65,1074.15,23.91,8,22.8,0.64,True,4.94,17.9
FEEDER_006,Maharashtra,2024-01-21,546.84,489.01,10.58,29,33.9,0.91,False,7.14,12.4
FEEDER_006,Gujarat,2024-01-22,2166.61,1424.86,34.24,10,22.8,0.58,True,5.14,13.8
FEEDER_006,Uttar Pradesh,2024-01-23,2105.27,1931.57,8.25,20,26.4,0.52,False,2.78,0.7
FEEDER_006,Tamil Nadu,2024-01-24,2028.39,1520.79,25.02,17,20.9,0.8,False,8.5,8.3
FEEDER_006,West Bengal,2024-01-25,2287.56,1802.25,21.22,14,36.5,0.43,False,8.04,8.5
FEEDER_006,Bihar,2024-01-26,1807.25,1646.89,8.87,12,43.5,0.42,True,7.17,3.1
FEEDER_006,Madhya Pradesh,2024-01-27,3206.31,2291.99,28.52,28,15.7,0.7,True,9.78,6.8
FEEDER_006,West Bengal,2024-01-28,3966.87,2579.02,34.99,24,16.6,0.87,True,9.06,18.3
FEEDER_006,Maharashtra,2024-01-29,3440.47,3173.38,7.76,16,34.0,0.48,True,9.39,5.5
FEEDER_006,Rajasthan,2024-01-30,2491.19,1759.21,29.38,6,36.7,0.44,True,5.01,14.1
FEEDER_007,West Bengal,2024-01-01,1857.39,1277.87,31.2,25,38.3,0.49,True,7.81,16.0
FEEDER_007,West Bengal,2024-01-02,1441.15,1054.15,26.85,4,35.5,0.83,True,2.06,2.1
FEEDER_007,Madhya Pradesh,2024-01-03,3859.7,3178.65,17.65,19,36.9,0.63,False,9.06,11.1
FEEDER_007,West Bengal,2024-01-04,902.1,843.49,6.5,20,15.8,0.75,True,5.89,12.9
FEEDER_007,Gujarat,2024-01-05,593.67,529.13,10.87,18,29.1,0.7,False,8.7,14.5
FEEDER_007,West Bengal,2024-01-06,3758.83,2980.52,20.71,11,19.4,0.68,False,4.85,7.3
FEEDER_007,Bihar,2024-01-07,2554.26,2207.4,13.58,22,44.8,0.76,False,3.75,9.5
FEEDER_007,Maharashtra,2024-01-08,2228.18,1727.65,22.46,20,26.0,0.92,True,5.58,18.5
FEEDER_007,Tamil Nadu,2024-01-09,1222.13,1125.32,7.92,1,42.7,0.42,False,7.43,18.0
FEEDER_007,Gujarat,2024-01-10,4103.41,3484.05,15.09,18,27.7,0.87,False,9.18,18.1
FEEDER_007,Madhya Pradesh,2024-01-11,2089.02,1445.47,30.81,18,18.4,0.43,False,3.81,13.4
FEEDER_007,West Bengal,2024-01-12,2516.58,2363.52,6.08,8,39.1,0.95,False,4.69,13.4
FEEDER_007,Rajasthan,2024-01-13,658.46,465.32,29.33,12,23.1,0.65,False,9.76,0.5
FEEDER_007,West Bengal,2024-01-14,2922.37,2126.84,27.22,22,40.8,0.56,True,1.21,7.8
FEEDER_007,Gujarat,2024-01-15,1987.7,1425.43,28.29,23,15.2,0.47,True,9.19,6.3
FEEDER_007,West Bengal,2024-01-16,3203.46,2345.69,26.78,15,31.9,0.58,True,10.0,12.2
FEEDER_007,Gujarat,2024-01-17,3600.73,3029.18,15.87,5,18.3,0.78,False,7.82,16.5
FEEDER_007,Madhya Pradesh,2024-01-18,4688.6,4237.45,9.62,12,42.9,0.53,False,3.26,3.0
FEEDER_007,Gujarat,2024-01-19,4015.13,3295.33,17.93,24,36.4,0.65,False,2.03,14.9
FEEDER_007,Rajasthan,2024-01-20,1034.9,975.54,5.74,1,19.4,0.95,False,4.17,9.7
FEEDER_007,Rajasthan,2024-01-21,562.39,374.72,33.37,27,26.4,0.67,True,3.56,0.4
FEEDER_007,Rajasthan,2024-01-22,4657.68,3789.01,18.65,2,44.6,0.51,False,7.92,15.8
FEEDER_007,Uttar Pradesh,2024-01-23,689.05,586.75,14.85,20,27.1,0.54,True,8.72,6.4
FEEDER_007,Tamil Nadu,2024-01-24,2360.64,1535.64,34.95,26,41.3,0.67,True,0.67,14.8
FEEDER_007,Gujarat,2024-01-25,2861.89,2050.88,28.34,11,37.7,0.62,True,9.02,2.0
FEEDER_007,Rajasthan,2024-01-26,4048.1,3187.81,21.25,20,24.1,0.47,True,4.23,17.9
FEEDER_007,West Bengal,2024-01-27,1103.59,744.52,32.54,17,24.0,0.94,False,2.82,4.6
FEEDER_007,Rajasthan,2024-01-28,585.14,550.63,5.9,23,31.3,0.81,True,7.85,8.3
FEEDER_007,Maharashtra,2024-01-29,4644.01,4277.98,7.88,18,16.6,0.93,True,9.81,4.9
FEEDER_007,Madhya Pradesh,2024-01-30,3679.17,2624.22,28.67,30,40.1,0.42,False,4.16,8.8
FEEDER_008,Gujarat,2024-01-01,1008.6,765.9,24.06,20,28.0,0.52,True,2.61,16.2
FEEDER_008,Maharashtra,2024-01-02,3398.58,2640.89,22.29,6,42.1,0.71,False,1.15,2.5
FEEDER_008,Bihar,2024-01-03,1562.95,1231.92,21.18,16,28.1,0.64,False,6.98,16.8
FEEDER_008,Gujarat,2024-01-04,2624.96,2341.8,10.79,28,27.1,0.82,True,5.51,2.4
FEEDER_008,West Bengal,2024-01-05,4745.85,4278.63,9.84,18,18.3,0.61,True,2.89,14.0
